Van Aalst, PVV
Agema, PVV
Alkaya, SP
Amhaouch, CDA
Arib, PvdA
Arissen, PvdD
Asscher, PvdA
Azarkan, DENK
Azmani, VVD
Baudet, FvD
Becker, VVD
Beckerman, SP
Beertema, PVV
Belhaj, D66
Van den Berg, CDA
Bergkamp, D66
Bisschop, SGP
Den Boer, D66
Van den Bosch, VVD
Bosma, PVV
Bosman, VVD
Bouali, D66
Van Brenk, 50PLUS
Ten Broeke, VVD
Bruins, CU
Bruins Slot, CDA
Buitenweg, GL
Van Dam, CDA
Diertens, GL
Tony van Dijck, PVV
Emiel van Dijk, PVV
Gijs van Dijk, PvdA
Jasper van Dijk, SP
Dijkhoff, VVD
Dijksma, PvdA
Pia Dijkstra, D66
Remco Dijkstra, VVD
Dik-Faber, CU
Diks, GL
Van Eijs, D66
El Yassini, VVD
Ellemeet, GL
Fritsma, PVV
Futselaar, SP
Geluk-Poortvliet, CDA
Gerbrands, PVV
Van Gerven, SP
Geurts, CDA
De Graaf, PVV
Van der Graaf, CU
Grashoff, GL
Graus, PVV
De Groot, D66
Groothuizen, D66
Van Haersma Buma, CDA
Van Haga, VVD
Heerema, VVD
Heerma, CDA
Helder, PVV
Van Helvert, CDA
Hennis-Plasschaert, VVD
Hermans, VVD
Hiddema, FvD
Hijink, SP
Van den Hul, PvdA
Jetten, D66
De Jong, PVV
Karabulut, SP
Van Kent, SP
Klaver, GL
Koerhuis, VVD
Koopmans, VVD
Kops, PVV
Kröger, GL
Krol, 50PLUS
Kuik, CDA
Kuiken, PvdA
Kuzu, DENK
Kwint, SP
Laan-Geselschap, VVD
Laçin, SP
De Lange, VVD
Van der Lee, GL
Leijten, VVD
Lodders, VVD
Madlener, PVV
Maeijer, PVV
Marijnissen, SP
Markuszower, PVV
Von Martels, CDA
Van Meenen, D66
Middendorp, VVD
Van der Molen, CDA
Moorlag, PvdA
Anne Mulder, VVD
Agnes Mulder, CDA
Edgar Mulder, PVV
Nijboer, PvdA
Nijkerken-de Haan, VVD
Van Nispen, SP
Van Ojik, GL
Omtzigt, CDA
Van Oosten, VVD
Ouwehand, PvdD
Özdil, GL
Öztürk, DENK
Özütok, GL
Paternotte, D66
Pechtold, D66
Peters, CDA
Ploumen, PvdA
Van Raak, SP
Van Raan, PvdD
Raemakers, D66
Rog, CDA
Ronnes, CDA
Van Rooijen, 50PLUS
De Roon, PVV
Arno Rutte, VVD
Sazias, 50PLUS
Segers, CU
Sienot, D66
Sjoerdsma, D66
Slootweg, CDA
Sneller, D66
Snels, GL
Van der Staaij, SGP
Stoffer, SGP
Tellegen, VVD
Thieme, PvdD
Tielen, VVD
Van Tongeren, GL
Van Toorenburg, CDA
Veldman, VVD
Verhoeven, D66
Voordewind, CU
Voortman, GL
De Vries, VVD
Wassenberg, PvdD
Van Weerdenburg, PVV
Westerveld, GL
Weverling, VVD
Van Weyenberg, D66
Wiersma, VVD
Wilders, PVV
Wörsdörfer, VVD
Van 't Woud, VVD
Yeşilgöz-Zegerius, VVD
Ziengs, VVD